"ID,",Requirement,Depends on,Relevant Goals,Relevant User Story,Verification Method,"Source,",Priority,Type,NFR Classification,Phase Type,Quality Type,"Date of writing ",Written By,Checked by:,Date of Revision,Version,Number,Written by,Source,Date
1,The Consortia system shall comply with the IT Department security and privacy standards that are followed by KFUPM systems.,None,G1,"S4, S5, S10",Inspection,Domain,High,Non-Functional,Organizational Requirements,All/Any Phase,Security & Privacy,"March 13, 2024",Mohammed,"Mohammed, Moutaz, Nawaf","May 31, 2024",,,,,
2,The Consortia system shall allow users to communicate through the system.,None,G2,"S2, S4, S5, S8, S9",Demonstration,Stakeholder,High,Functional,,All/Any Phase,,"March 13, 2024",Mohammed,"Mohammed, Moutaz, Nawaf","May 31, 2024",,,,,
2.1,The Consortia system’s communication platform shall have timed communication between all parties.,2,G2,"S2, S4, S5, S8, S9",Test,Domain,High,Non-Functional,Product Requirements,All/Any Phase,Performance,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
2.2,The Consortia system’s communication platform shall have tracked communication between all parties.,2,G2,"S5, S9",Test,Domain,High,Non-Functional,Product Requirements,All/Any Phase,Traceability,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
3,"The Consortia system shall provide a dashboard showing status of agreements and the resulting outcomes. ",13,G3,"S6, S7, S9",Demonstration,Stakeholder,High,Functional,,All/Any Phase,,"March 13, 2024",Mohammed,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
4,The Consortia system shall provide notifications for users to complete their tasks.,None,G2,"S5, S8, S9",Demonstration,Stakeholder,High,Functional,,"Announcement of Consortia, Research Project",,"March 13, 2024",Mohammed,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
5,The Consortia System shall provide user authentication.,1,G1,"S3, S4, S5",Test,Stakeholder,High,Non-Functional,Product Requirements,All/Any Phase,Security,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
6,The Consortia System shall implement role based access control.,None,G1,"S3, S4, S5, S9",Inspection,Stakeholder,High,Non-Functional,Product Requirements,All/Any Phase,Integrity,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
7,The Consortia System shall offer the ability to create consortia agreements.,None,"G3, G4","S1, S2",Demonstration,Stakeholder,High,Functional,,Establishing Agreement,,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
8,The Consortia System shall offer the ability to manage consortia agreements.,7,"G3, G4","S1, S2",Demonstration,Stakeholder,High,Functional,,Establishing Agreement,,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
9,The Consortia System shall maintain version control for agreement documents.,None,G4,,Analysis,Stakeholder,High,Non-Functional,Product Requirements,Establishing Agreement,Maintainability,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
10,The Consortia System shall enable resource sharing among consortia members.,None,G5,"S4, S8",Demonstration,Stakeholder,High,Functional,,Research Project,,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
11,The Consortia system shall have an uptime of 99.9%.,1,,,Test,Users,High,Non-Functional,Product Requirements,All/Any Phase,Availability,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
12,The Consortia system shall have a standardized interface that enables new users to achieve basic competency with no more than 2 hours of training.,"1,11",,,Demonstration,Users,High,Non-Functional,Product Requirements,All/Any Phase,Usability,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
13,The Consortia system shall provide accurate and timely information.,"6,8,9","G1, G9","S2, S3, S4, S5, S6, S7, S8, S9",Demonstration,Domain,High,Non-Functional,Product Requirements,All/Any Phase,Reliability,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
15,The Consortia system shall be compatible with existing IT infrastructure at KFUPM.,1,,,Inspection,Domain,Medium,Non-Functional,Organizational Requirements,All/Any Phase,Interoperability,"March 13, 2024",Nawaf,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
17V1,The system shall have a mechanism to facilitate the formation of committees.,None,G5,"S2, S3",Demonstration,Stakeholder,High,Functional,,All/Any Phase,,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
18," The system shall provide tools for defining and managing research themes.",None,"G3, G10","S1, S2, S4, S5, S9",Demonstration,Stakeholder,High,Functional,,Establishing Agreement,,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
19,"The system shall allow users to write the detailed specification of technical side related to research themes and committee operations. ",18,,S4,Demonstration,Users,High,Functional,,All/Any Phase,,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
20,"The system shall provide a visible approval process, indicating the status and notifying the users of pending approvals.",9,"G2, G3","S5, S6, S7, S9",Demonstration,Stakeholder,High,Functional,,All/Any Phase,,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
20.1,The system shall track the time spent by each team/party to review the agreement.,20,"G3, G4","S6, S7, S9",Test,Stakeholder,Medium,Functional,,All/Any Phase,,"March 13, 2024",Moutaz,"Mohammed, Moutaz, Nawaf","May 31, 2024",V1,,,,
